Symbol, Close, High, Low, Last Trade
Dow 30,,,,17-Apr 12:46
S&P 500,,,,17-Apr 12:46
Nasdaq Composite,,,,17-Apr 12:46
FTSE 100,,,,17-Apr 12:46
CAC 40,,,,17-Apr 12:46
DAX,,,,17-Apr 12:46
Nikkei 225,,,,17-Apr 12:46
Hang Seng,,,,17-Apr 12:46
Shanghai Composite,,,,17-Apr 12:46
NSE Nifty,,,,17-Apr 12:46
BSE Sensex,,,,17-Apr 12:46
STI,,,,17-Apr 12:46
Kospi,,,,17-Apr 12:46
US Dollar Index,,,,17-Apr 12:46
EUR/USD,,,,17-Apr 12:46
USD/JPY,,,,17-Apr 12:46
GBP/USD,,,,17-Apr 12:46
AUD/USD,,,,17-Apr 12:46
USD/CAD,,,,17-Apr 12:46
USD/CHF,,,,17-Apr 12:46
USD/MXN,,,,17-Apr 12:46
USD/CNY,,,,17-Apr 12:46
NZD/USD,,,,17-Apr 12:46
USD/HKD,,,,17-Apr 12:46
USD/SGD,,,,17-Apr 12:46
USD/INR,,,,17-Apr 12:46
Gold,,,,17-Apr 12:46
Silver,,,,17-Apr 12:46
Copper,,,,17-Apr 12:46
Crude Oil,,,,17-Apr 12:46
Natural Gas,,,,17-Apr 12:46
